@relation 'german_credit-weka.filters.unsupervised.attribute.Remove-R2,7-13,15-16,18-20'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute other_payment_plans {bank,stores,none}
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute class {good,bad}

@data
<0,'existing paid',furniture/equipment,2212,'no known savings',none,skilled,good
0<=X<200,'existing paid','used car',12976,<100,none,'high qualif/self emp/mgmt',bad
'no checking','existing paid','new car',1283,'no known savings',none,skilled,good
>=200,'existing paid','new car',1330,<100,none,skilled,good
'no checking','delayed previously',business,4272,100<=X<500,none,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,2238,<100,none,skilled,good
'no checking','existing paid',radio/tv,1126,'no known savings',none,skilled,good
0<=X<200,'critical/other existing credit',furniture/equipment,7374,<100,stores,'high qualif/self emp/mgmt',good
0<=X<200,'critical/other existing credit',business,2326,500<=X<1000,bank,skilled,good
'no checking','existing paid',business,1449,<100,none,skilled,good
'no checking','existing paid','new car',1820,<100,none,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',furniture/equipment,983,>=1000,none,'unskilled resident',good
<0,'existing paid','new car',3249,<100,bank,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit',radio/tv,1957,<100,none,skilled,good
'no checking','critical/other existing credit',furniture/equipment,2406,<100,none,'high qualif/self emp/mgmt',good
0<=X<200,'delayed previously',education,11760,100<=X<500,none,skilled,good
<0,'existing paid',furniture/equipment,2578,<100,none,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit',furniture/equipment,2348,<100,none,skilled,good
0<=X<200,'existing paid','new car',1223,<100,none,skilled,bad
'no checking','critical/other existing credit',radio/tv,1516,>=1000,none,'unskilled resident',good
'no checking','existing paid',radio/tv,1473,<100,none,skilled,good
0<=X<200,'critical/other existing credit',business,1887,'no known savings',bank,skilled,good
'no checking','delayed previously',business,8648,<100,bank,skilled,bad
'no checking','delayed previously','new car',802,<100,none,'unskilled resident',good
0<=X<200,'delayed previously','new car',2899,'no known savings',none,skilled,good
0<=X<200,'existing paid',radio/tv,2039,<100,none,skilled,bad
'no checking','critical/other existing credit','used car',2197,'no known savings',none,skilled,good
<0,'existing paid',radio/tv,1053,<100,none,skilled,good
'no checking','existing paid',radio/tv,3235,500<=X<1000,none,'high qualif/self emp/mgmt',good
>=200,'critical/other existing credit','new car',939,500<=X<1000,none,skilled,bad
0<=X<200,'existing paid',radio/tv,1967,<100,none,skilled,good
'no checking','critical/other existing credit','used car',7253,<100,none,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',business,2292,<100,stores,'high qualif/self emp/mgmt',bad
'no checking','existing paid','new car',1597,500<=X<1000,none,'unskilled resident',good
<0,'existing paid','new car',1381,'no known savings',none,skilled,bad
'no checking','critical/other existing credit','used car',5842,<100,none,skilled,good
<0,'existing paid','new car',2579,<100,none,'unskilled resident',bad
<0,'delayed previously',education,8471,'no known savings',none,skilled,good
'no checking','existing paid','new car',2782,500<=X<1000,bank,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid','new car',1042,'no known savings',none,skilled,bad
'no checking','existing paid','new car',3186,>=1000,none,skilled,good
0<=X<200,'existing paid','used car',2028,'no known savings',none,skilled,good
0<=X<200,'critical/other existing credit','new car',958,<100,none,'unskilled resident',good
'no checking','delayed previously',furniture/equipment,1591,100<=X<500,none,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',furniture/equipment,2762,'no known savings',bank,skilled,bad
0<=X<200,'existing paid','used car',2779,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,2743,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,1149,>=1000,none,skilled,good
'no checking','existing paid',furniture/equipment,1313,<100,none,skilled,good
<0,'critical/other existing credit',repairs,1190,<100,none,'unemp/unskilled non res',bad
'no checking','existing paid',business,3448,<100,none,'unskilled resident',good
0<=X<200,'existing paid',other,11328,<100,bank,'high qualif/self emp/mgmt',bad
<0,'critical/other existing credit',furniture/equipment,1872,<100,none,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',repairs,2058,<100,none,skilled,good
<0,'existing paid',furniture/equipment,2136,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,1484,'no known savings',none,skilled,bad
'no checking','existing paid',repairs,660,500<=X<1000,none,'unskilled resident',good
'no checking','critical/other existing credit','new car',1287,>=1000,none,skilled,good
<0,'critical/other existing credit',repairs,3394,<100,none,'unemp/unskilled non res',good
>=200,'all paid',business,609,<100,none,'unemp/unskilled non res',bad
'no checking','existing paid','new car',1884,<100,none,'high qualif/self emp/mgmt',good
<0,'existing paid',furniture/equipment,1620,<100,none,skilled,good
0<=X<200,'delayed previously',other,2629,<100,bank,skilled,good
'no checking','existing paid',education,719,<100,bank,'unskilled resident',bad
0<=X<200,'critical/other existing credit',furniture/equipment,5096,<100,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',education,1244,'no known savings',none,'unskilled resident',good
<0,'existing paid','new car',1842,<100,none,skilled,bad
0<=X<200,'existing paid',radio/tv,2576,<100,none,skilled,good
>=200,'existing paid',furniture/equipment,1424,'no known savings',none,'high qualif/self emp/mgmt',good
0<=X<200,'delayed previously',repairs,1512,>=1000,stores,skilled,bad
'no checking','critical/other existing credit','used car',11054,'no known savings',none,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,518,<100,none,skilled,good
'no checking','no credits/all paid',furniture/equipment,2759,<100,none,skilled,good
'no checking','existing paid','used car',2670,<100,none,'high qualif/self emp/mgmt',good
<0,'existing paid','new car',4817,<100,none,skilled,bad
'no checking','existing paid','used car',2679,<100,none,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit','new car',3905,<100,none,skilled,good
<0,'existing paid','used car',3386,<100,none,skilled,bad
<0,'existing paid','domestic appliance',343,<100,none,skilled,good
'no checking','existing paid',radio/tv,4594,<100,none,skilled,good
<0,'existing paid',furniture/equipment,3620,<100,none,skilled,good
<0,'existing paid','new car',1721,<100,none,skilled,good
0<=X<200,'existing paid',furniture/equipment,3017,<100,none,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',retraining,754,'no known savings',none,skilled,good
'no checking','existing paid',business,1950,<100,stores,skilled,good
<0,'existing paid','used car',2924,<100,bank,skilled,good
<0,'delayed previously',radio/tv,1659,<100,none,'unskilled resident',bad
'no checking','delayed previously',radio/tv,7238,'no known savings',bank,skilled,good
'no checking','delayed previously',business,2764,<100,none,skilled,good
'no checking','delayed previously','used car',4679,<100,none,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,3092,100<=X<500,none,skilled,bad
<0,'existing paid',education,448,<100,none,skilled,bad
<0,'existing paid','new car',654,<100,none,'unskilled resident',bad
'no checking','existing paid',retraining,1238,'no known savings',none,'high qualif/self emp/mgmt',good
0<=X<200,'critical/other existing credit',radio/tv,1245,<100,none,skilled,bad
<0,'no credits/all paid',furniture/equipment,3114,<100,none,skilled,bad
'no checking','existing paid','used car',2569,500<=X<1000,none,skilled,good
>=200,'existing paid',radio/tv,5152,<100,bank,skilled,good
0<=X<200,'existing paid',business,1037,100<=X<500,none,'unskilled resident',good
<0,'critical/other existing credit',furniture/equipment,1478,<100,none,skilled,good
0<=X<200,'critical/other existing credit',radio/tv,3573,<100,none,'unskilled resident',good
0<=X<200,'existing paid','new car',1201,<100,none,skilled,good
<0,'existing paid',furniture/equipment,3622,>=1000,none,skilled,good
'no checking','delayed previously',furniture/equipment,960,>=1000,none,skilled,good
'no checking','critical/other existing credit','new car',1163,500<=X<1000,none,skilled,good
0<=X<200,'delayed previously','new car',1209,<100,none,'high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,3077,<100,none,skilled,good
'no checking','existing paid','new car',3757,<100,none,skilled,good
'no checking','existing paid','new car',1418,100<=X<500,none,'unskilled resident',good
'no checking','existing paid','new car',3518,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,1934,<100,none,skilled,good
0<=X<200,'no credits/all paid',business,8318,<100,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,1237,100<=X<500,none,skilled,good
0<=X<200,'existing paid',radio/tv,368,'no known savings',none,skilled,good
<0,'critical/other existing credit','new car',2122,<100,none,'unskilled resident',good
<0,'existing paid',furniture/equipment,2996,'no known savings',none,skilled,bad
0<=X<200,'existing paid',furniture/equipment,9034,100<=X<500,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',furniture/equipment,1585,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,1301,<100,none,'unskilled resident',good
>=200,'critical/other existing credit','new car',1323,100<=X<500,none,skilled,good
<0,'existing paid','new car',3123,<100,none,skilled,bad
<0,'existing paid','used car',5493,<100,none,skilled,good
>=200,'existing paid',radio/tv,1126,100<=X<500,none,skilled,good
0<=X<200,'critical/other existing credit',radio/tv,1216,100<=X<500,bank,skilled,bad
<0,'existing paid','new car',1207,<100,none,skilled,bad
'no checking','existing paid','new car',1309,'no known savings',none,'unskilled resident',bad
>=200,'critical/other existing credit','used car',2360,500<=X<1000,none,skilled,good
0<=X<200,'all paid','new car',6850,100<=X<500,none,'high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,1413,<100,none,skilled,good
'no checking','existing paid','used car',8588,100<=X<500,none,'high qualif/self emp/mgmt',good
<0,'existing paid','new car',759,<100,none,skilled,bad
'no checking','existing paid','used car',4686,<100,none,'high qualif/self emp/mgmt',good
>=200,'existing paid',business,2687,<100,none,skilled,good
0<=X<200,'delayed previously',radio/tv,585,<100,none,skilled,good
'no checking','existing paid','new car',2255,'no known savings',none,skilled,good
<0,'critical/other existing credit','new car',609,<100,none,skilled,good
<0,'critical/other existing credit','new car',1361,<100,none,'unskilled resident',good
'no checking','critical/other existing credit',furniture/equipment,7127,<100,none,skilled,bad
<0,'existing paid','new car',1203,100<=X<500,none,skilled,good
'no checking','critical/other existing credit',radio/tv,700,'no known savings',none,skilled,good
'no checking','critical/other existing credit',repairs,5507,<100,none,skilled,good
<0,'existing paid',radio/tv,3190,<100,none,skilled,bad
<0,'no credits/all paid',furniture/equipment,7119,<100,none,skilled,bad
'no checking','existing paid','used car',3488,100<=X<500,none,skilled,good
0<=X<200,'existing paid',radio/tv,1113,<100,none,'unskilled resident',good
0<=X<200,'existing paid','used car',7966,<100,none,skilled,good
'no checking','critical/other existing credit',education,1532,100<=X<500,none,skilled,good
'no checking','critical/other existing credit',radio/tv,1503,<100,none,'unskilled resident',good
<0,'existing paid',radio/tv,2302,<100,none,skilled,bad
<0,'existing paid','new car',662,<100,none,'unskilled resident',good
0<=X<200,'existing paid',education,2273,<100,none,skilled,good
0<=X<200,'existing paid','new car',2631,100<=X<500,none,skilled,bad
'no checking','delayed previously','used car',1503,<100,none,skilled,good
'no checking','existing paid',radio/tv,1311,100<=X<500,none,skilled,good
'no checking','existing paid',radio/tv,3105,'no known savings',none,skilled,good
>=200,'critical/other existing credit',education,2319,<100,none,skilled,bad
<0,'existing paid','new car',1374,'no known savings',none,'high qualif/self emp/mgmt',good
0<=X<200,'critical/other existing credit',furniture/equipment,3612,<100,none,skilled,good
<0,'existing paid','new car',7763,<100,bank,'high qualif/self emp/mgmt',bad
>=200,'existing paid',furniture/equipment,3049,<100,stores,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,1534,<100,none,skilled,bad
'no checking','delayed previously','new car',2032,<100,none,skilled,good
<0,'existing paid',furniture/equipment,6350,'no known savings',none,skilled,bad
>=200,'existing paid',furniture/equipment,2864,<100,none,'unskilled resident',bad
'no checking','critical/other existing credit','new car',1255,<100,none,'unskilled resident',good
<0,'delayed previously','new car',1333,<100,none,skilled,bad
'no checking','critical/other existing credit','new car',2022,<100,none,skilled,good
'no checking','existing paid',radio/tv,1552,<100,bank,skilled,good
<0,'all paid',radio/tv,626,<100,bank,'unskilled resident',bad
'no checking','critical/other existing credit','used car',8858,'no known savings',none,skilled,good
'no checking','critical/other existing credit',repairs,996,'no known savings',none,skilled,good
'no checking','all paid',radio/tv,1750,500<=X<1000,bank,'unskilled resident',good
<0,'existing paid',radio/tv,6999,<100,none,skilled,bad
0<=X<200,'critical/other existing credit','new car',1995,100<=X<500,none,skilled,good
0<=X<200,'existing paid',education,1199,<100,none,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',radio/tv,1331,<100,stores,skilled,bad
0<=X<200,'no credits/all paid','new car',2278,100<=X<500,none,skilled,bad
'no checking','no credits/all paid','new car',5003,'no known savings',bank,skilled,bad
<0,'all paid',furniture/equipment,3552,<100,bank,skilled,bad
0<=X<200,'critical/other existing credit',furniture/equipment,1928,<100,none,'unskilled resident',bad
<0,'existing paid','used car',2964,'no known savings',bank,skilled,good
<0,'all paid',radio/tv,1546,<100,bank,'unskilled resident',bad
>=200,'delayed previously',radio/tv,683,<100,bank,skilled,good
0<=X<200,'existing paid','new car',12389,'no known savings',none,skilled,bad
0<=X<200,'delayed previously',business,4712,'no known savings',bank,'high qualif/self emp/mgmt',good
0<=X<200,'delayed previously',radio/tv,1553,100<=X<500,none,skilled,good
<0,'existing paid','new car',1372,<100,none,skilled,bad
'no checking','critical/other existing credit',radio/tv,2578,>=1000,none,skilled,good
0<=X<200,'existing paid',radio/tv,3979,'no known savings',none,skilled,good
<0,'existing paid',radio/tv,6758,<100,none,skilled,bad
<0,'existing paid',furniture/equipment,3234,<100,none,'unskilled resident',bad
'no checking','critical/other existing credit',radio/tv,5954,<100,none,skilled,good
'no checking','existing paid','used car',5433,'no known savings',none,'high qualif/self emp/mgmt',good
<0,'existing paid',business,806,<100,none,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,1082,<100,none,'unskilled resident',good
'no checking','critical/other existing credit',furniture/equipment,2788,<100,bank,skilled,good
0<=X<200,'existing paid',radio/tv,2930,<100,none,skilled,good
'no checking','critical/other existing credit',education,1927,'no known savings',none,skilled,good
0<=X<200,'critical/other existing credit','new car',2820,<100,none,skilled,bad
'no checking','existing paid',retraining,937,<100,none,'unskilled resident',good
0<=X<200,'critical/other existing credit','new car',1056,<100,bank,skilled,bad
0<=X<200,'critical/other existing credit','new car',3124,<100,bank,'unskilled resident',good
'no checking','existing paid',furniture/equipment,1388,<100,none,skilled,good
0<=X<200,'existing paid',repairs,2384,<100,none,'unskilled resident',bad
'no checking','existing paid','new car',2133,'no known savings',none,'high qualif/self emp/mgmt',good
<0,'existing paid',furniture/equipment,2039,<100,bank,skilled,bad
<0,'critical/other existing credit','new car',2799,<100,none,skilled,good
<0,'existing paid',furniture/equipment,1289,<100,none,'unskilled resident',good
<0,'existing paid','domestic appliance',1217,<100,none,'unskilled resident',bad
<0,'critical/other existing credit',furniture/equipment,2246,<100,none,skilled,bad
<0,'critical/other existing credit',radio/tv,385,<100,none,'unskilled resident',good
0<=X<200,'delayed previously','new car',1965,'no known savings',none,skilled,good
'no checking','existing paid',business,1572,>=1000,bank,'unskilled resident',good
0<=X<200,'existing paid','new car',2718,<100,none,'unskilled resident',bad
<0,'all paid',other,1358,'no known savings',stores,'high qualif/self emp/mgmt',bad
0<=X<200,'all paid','new car',931,100<=X<500,stores,'unskilled resident',bad
<0,'existing paid','new car',1442,<100,none,skilled,bad
0<=X<200,'no credits/all paid',business,4241,<100,none,'unskilled resident',bad
'no checking','critical/other existing credit','new car',2775,<100,bank,skilled,bad
'no checking','delayed previously',business,3863,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,2329,<100,none,skilled,good
0<=X<200,'existing paid',furniture/equipment,918,<100,none,skilled,bad
0<=X<200,'all paid',education,1837,<100,bank,'unskilled resident',bad
'no checking','existing paid',furniture/equipment,3349,<100,none,'high qualif/self emp/mgmt',bad
>=200,'existing paid',furniture/equipment,1275,<100,none,skilled,good
<0,'all paid',furniture/equipment,2828,500<=X<1000,stores,skilled,good
'no checking','critical/other existing credit',business,4526,<100,none,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',radio/tv,2671,100<=X<500,none,skilled,bad
'no checking','existing paid',radio/tv,2051,<100,none,skilled,good
'no checking','existing paid','used car',1300,'no known savings',bank,skilled,good
<0,'existing paid','domestic appliance',741,100<=X<500,none,skilled,bad
>=200,'existing paid','new car',1240,100<=X<500,none,'unskilled resident',bad
<0,'existing paid',radio/tv,3357,>=1000,bank,skilled,good
<0,'all paid','used car',3632,<100,bank,skilled,good
'no checking','delayed previously',furniture/equipment,1808,<100,none,skilled,bad
0<=X<200,'no credits/all paid',business,12204,'no known savings',bank,'high qualif/self emp/mgmt',good
0<=X<200,'delayed previously',radio/tv,9157,'no known savings',none,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit','new car',3676,<100,none,skilled,good
0<=X<200,'existing paid',furniture/equipment,3441,100<=X<500,none,skilled,bad
'no checking','existing paid','new car',640,<100,none,'unskilled resident',good
0<=X<200,'critical/other existing credit',business,3652,<100,none,skilled,good
'no checking','critical/other existing credit','new car',1530,<100,bank,skilled,bad
'no checking','existing paid',business,3914,'no known savings',bank,skilled,bad
<0,'existing paid',furniture/equipment,1858,<100,none,skilled,good
<0,'existing paid',radio/tv,2600,<100,none,skilled,bad
'no checking','existing paid',radio/tv,1979,'no known savings',none,skilled,good
>=200,'existing paid',furniture/equipment,2116,<100,none,skilled,good
0<=X<200,'all paid','new car',1437,100<=X<500,none,skilled,bad
'no checking','critical/other existing credit',furniture/equipment,4042,500<=X<1000,none,skilled,good
'no checking','existing paid',education,3832,'no known savings',none,'unskilled resident',good
<0,'existing paid',radio/tv,3660,<100,none,skilled,good
<0,'all paid',furniture/equipment,1553,<100,bank,skilled,bad
0<=X<200,'existing paid',radio/tv,1444,'no known savings',none,skilled,good
'no checking','existing paid',furniture/equipment,1980,<100,none,skilled,bad
0<=X<200,'existing paid','new car',1355,<100,none,'unskilled resident',bad
'no checking','existing paid',education,1393,<100,bank,skilled,good
'no checking','existing paid',radio/tv,1376,500<=X<1000,none,skilled,good
'no checking','delayed previously',radio/tv,15653,<100,none,skilled,good
'no checking','existing paid',radio/tv,1493,<100,none,skilled,good
<0,'delayed previously',radio/tv,4370,<100,bank,skilled,bad
<0,'existing paid',education,750,<100,none,'unemp/unskilled non res',bad
0<=X<200,'existing paid',repairs,1308,<100,none,'unskilled resident',good
'no checking','existing paid',education,4623,100<=X<500,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,1851,<100,none,skilled,good
<0,'critical/other existing credit',radio/tv,1880,<100,none,'high qualif/self emp/mgmt',good
'no checking','delayed previously',business,7980,'no known savings',none,skilled,bad
<0,'no credits/all paid',furniture/equipment,4583,<100,none,skilled,good
'no checking','existing paid','new car',1386,500<=X<1000,none,skilled,bad
>=200,'existing paid','new car',947,<100,bank,skilled,bad
<0,'existing paid',education,684,<100,none,'unskilled resident',bad
<0,'existing paid',education,7476,<100,none,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',furniture/equipment,1922,<100,none,'unskilled resident',bad
<0,'existing paid','new car',2303,<100,none,skilled,bad
0<=X<200,'delayed previously','new car',8086,100<=X<500,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','used car',2346,<100,none,skilled,good
<0,'existing paid','new car',3973,<100,none,skilled,good
0<=X<200,'existing paid','new car',888,<100,bank,'unskilled resident',bad
'no checking','existing paid',radio/tv,10222,'no known savings',stores,skilled,good
0<=X<200,'no credits/all paid',business,4221,<100,none,skilled,good
0<=X<200,'critical/other existing credit',furniture/equipment,6361,<100,none,skilled,good
>=200,'existing paid',radio/tv,1297,<100,none,skilled,good
<0,'existing paid','new car',900,'no known savings',none,skilled,bad
'no checking','existing paid',furniture/equipment,2241,<100,none,skilled,good
0<=X<200,'delayed previously',furniture/equipment,1050,<100,stores,'high qualif/self emp/mgmt',good
>=200,'critical/other existing credit',education,1047,<100,none,'unskilled resident',good
'no checking','critical/other existing credit',other,6314,<100,bank,'high qualif/self emp/mgmt',good
0<=X<200,'all paid',furniture/equipment,3496,>=1000,stores,skilled,good
'no checking','all paid',business,3609,<100,stores,skilled,good
<0,'critical/other existing credit','new car',4843,<100,none,skilled,bad
>=200,'critical/other existing credit',radio/tv,3017,<100,none,skilled,good
'no checking','critical/other existing credit',business,4139,100<=X<500,none,'unskilled resident',good
'no checking','existing paid',business,5742,100<=X<500,none,skilled,good
'no checking','existing paid','new car',10366,<100,none,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit','new car',2080,500<=X<1000,none,skilled,good
'no checking','delayed previously',business,2580,500<=X<1000,bank,'unskilled resident',bad
'no checking','critical/other existing credit',radio/tv,4530,<100,none,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',furniture/equipment,5150,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,5595,100<=X<500,none,skilled,bad
<0,'existing paid',radio/tv,2384,<100,bank,'unskilled resident',good
'no checking','existing paid',radio/tv,1453,<100,none,skilled,good
'no checking','existing paid',education,1538,<100,none,skilled,good
'no checking','existing paid',radio/tv,2279,'no known savings',none,skilled,good
'no checking','delayed previously',radio/tv,1478,<100,bank,skilled,good
'no checking','critical/other existing credit',radio/tv,5103,<100,none,skilled,good
0<=X<200,'delayed previously',business,9857,100<=X<500,none,'unskilled resident',good
'no checking','existing paid','new car',6527,'no known savings',none,skilled,good
>=200,'critical/other existing credit',radio/tv,1347,'no known savings',none,skilled,good
0<=X<200,'delayed previously','new car',2862,100<=X<500,none,skilled,good
'no checking','existing paid',radio/tv,2753,100<=X<500,none,skilled,good
<0,'existing paid','new car',3651,>=1000,none,skilled,good
<0,'critical/other existing credit',furniture/equipment,975,<100,none,skilled,good
0<=X<200,'existing paid',repairs,2631,100<=X<500,none,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,2896,100<=X<500,none,skilled,good
<0,'critical/other existing credit','new car',4716,'no known savings',none,'unskilled resident',good
'no checking','existing paid',radio/tv,2284,<100,none,skilled,good
'no checking','existing paid','used car',1236,500<=X<1000,none,skilled,good
0<=X<200,'existing paid',radio/tv,1103,<100,none,skilled,good
'no checking','critical/other existing credit','new car',926,<100,none,'unemp/unskilled non res',good
'no checking','critical/other existing credit',radio/tv,1800,<100,none,skilled,good
>=200,'existing paid',education,1905,<100,none,'high qualif/self emp/mgmt',good
'no checking','existing paid',furniture/equipment,1123,500<=X<1000,none,'unskilled resident',bad
<0,'critical/other existing credit','used car',6331,<100,none,skilled,bad
>=200,'existing paid',radio/tv,1377,100<=X<500,none,skilled,good
0<=X<200,'delayed previously',business,2503,100<=X<500,stores,skilled,good
0<=X<200,'existing paid',business,2528,<100,none,skilled,good
'no checking','existing paid','new car',5324,500<=X<1000,none,skilled,good
0<=X<200,'existing paid','new car',6560,100<=X<500,none,skilled,bad
0<=X<200,'no credits/all paid',furniture/equipment,2969,<100,none,skilled,bad
0<=X<200,'existing paid',radio/tv,1206,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,2118,<100,none,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,629,500<=X<1000,bank,'high qualif/self emp/mgmt',good
<0,'all paid',education,1198,<100,none,skilled,bad
'no checking','existing paid','used car',2476,'no known savings',none,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit',radio/tv,1138,<100,none,'unskilled resident',good
0<=X<200,'existing paid','new car',14027,<100,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','used car',7596,'no known savings',none,skilled,good
'no checking','critical/other existing credit',radio/tv,3077,'no known savings',none,skilled,good
'no checking','existing paid',radio/tv,1505,<100,none,'high qualif/self emp/mgmt',good
>=200,'critical/other existing credit',radio/tv,3148,'no known savings',none,skilled,good
0<=X<200,'no credits/all paid','used car',6148,100<=X<500,bank,skilled,good
>=200,'no credits/all paid',radio/tv,1337,<100,none,'high qualif/self emp/mgmt',bad
0<=X<200,'all paid',education,433,>=1000,bank,skilled,bad
<0,'existing paid','new car',1228,<100,none,'unskilled resident',bad
0<=X<200,'existing paid',radio/tv,790,500<=X<1000,none,'unskilled resident',good
'no checking','existing paid','new car',2570,<100,none,skilled,bad
'no checking','critical/other existing credit','new car',250,>=1000,bank,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,1316,500<=X<1000,none,'unskilled resident',good
<0,'existing paid',radio/tv,1882,<100,bank,skilled,bad
0<=X<200,'all paid',business,6416,<100,none,skilled,bad
>=200,'critical/other existing credit',business,1275,>=1000,none,skilled,good
0<=X<200,'delayed previously',radio/tv,6403,<100,none,skilled,good
<0,'existing paid',radio/tv,1987,<100,none,'unskilled resident',bad
0<=X<200,'existing paid',radio/tv,760,<100,none,'unskilled resident',good
'no checking','existing paid','used car',2603,>=1000,none,skilled,good
'no checking','critical/other existing credit','new car',3380,<100,none,skilled,good
0<=X<200,'all paid','domestic appliance',3990,'no known savings',bank,'unemp/unskilled non res',good
0<=X<200,'existing paid','used car',11560,<100,none,'high qualif/self emp/mgmt',bad
<0,'existing paid','new car',4380,100<=X<500,none,'unskilled resident',good
'no checking','critical/other existing credit','new car',6761,<100,none,'high qualif/self emp/mgmt',good
0<=X<200,'no credits/all paid',business,4280,100<=X<500,none,'unskilled resident',bad
<0,'all paid','new car',2325,100<=X<500,bank,skilled,good
0<=X<200,'all paid',radio/tv,1048,<100,stores,'unskilled resident',good
'no checking','existing paid',radio/tv,3160,'no known savings',none,skilled,good
<0,'all paid',furniture/equipment,2483,500<=X<1000,stores,skilled,good
<0,'critical/other existing credit',furniture/equipment,14179,'no known savings',none,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit',business,1797,<100,bank,'unskilled resident',good
<0,'existing paid','new car',2511,<100,none,skilled,good
<0,'existing paid','new car',1274,<100,none,'unskilled resident',bad
'no checking','existing paid','used car',5248,'no known savings',none,skilled,good
'no checking','existing paid','used car',3029,<100,none,skilled,good
<0,'existing paid',furniture/equipment,428,<100,bank,skilled,good
<0,'existing paid','new car',976,<100,none,'unskilled resident',bad
0<=X<200,'existing paid',business,841,100<=X<500,none,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,5771,<100,none,skilled,good
'no checking','delayed previously',repairs,1555,>=1000,none,skilled,bad
<0,'existing paid','new car',1285,'no known savings',none,skilled,bad
>=200,'critical/other existing credit','new car',1299,<100,none,'unemp/unskilled non res',good
>=200,'critical/other existing credit',radio/tv,1271,'no known savings',none,skilled,bad
'no checking','existing paid','new car',1393,<100,none,skilled,good
<0,'critical/other existing credit','new car',691,<100,none,skilled,bad
'no checking','critical/other existing credit','new car',5045,'no known savings',none,skilled,good
<0,'critical/other existing credit',furniture/equipment,2124,<100,none,skilled,bad
<0,'existing paid',radio/tv,2214,<100,none,'unskilled resident',good
'no checking','critical/other existing credit','new car',12680,'no known savings',none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','new car',2463,100<=X<500,none,skilled,good
0<=X<200,'existing paid',radio/tv,1155,<100,bank,'unskilled resident',good
<0,'existing paid',furniture/equipment,3108,<100,none,'unskilled resident',bad
'no checking','existing paid','used car',2901,'no known savings',none,skilled,good
0<=X<200,'critical/other existing credit',furniture/equipment,3617,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,1655,<100,none,'unskilled resident',good
<0,'existing paid','used car',2812,'no known savings',none,skilled,good
<0,'critical/other existing credit',education,8065,<100,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','used car',3275,<100,none,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',radio/tv,2223,100<=X<500,bank,skilled,good
